gpu,fold,arm,k,regret
4090,pooled,random_pruned,32,1.051330
4090,pooled,random_pruned,64,1.036925
4090,pooled,random_pruned,128,1.025052
4090,pooled,random_pruned,256,1.018113
4090,pooled,random_pruned,512,1.012735
4090,pooled,random_pruned,1024,1.008403
4090,pooled,random_pruned,2048,1.005246
4090,pooled,random_pruned,4096,1.003154
4090,pooled,random_cond,1,2.424162
4090,pooled,random_cond,2,1.421832
4090,pooled,random_cond,4,1.225366
4090,pooled,random_cond,8,1.143885
4090,pooled,random_cond,16,1.093392
4090,pooled,random_cond,32,1.064860
4090,pooled,random_cond,64,1.046194
4090,pooled,random_cond,128,1.031155
4090,pooled,random_cond,256,1.021481
4090,pooled,random_cond,512,1.014964
4090,pooled,random_cond,1024,1.010394
4090,pooled,random_cond,2048,1.006833
4090,pooled,random_cond,4096,1.003755
4090,pooled,tpe,1,1.610429
4090,pooled,tpe,2,1.367938
4090,pooled,tpe,4,1.240840
4090,pooled,tpe,8,1.103524
4090,pooled,tpe,16,1.073969
4090,pooled,tpe,32,1.050597
4090,pooled,tpe,64,1.032130
4090,pooled,tpe,128,1.019686
4090,pooled,tpe,256,1.013568
4090,pooled,tpe,512,1.008813
4090,pooled,tpe,1024,1.005920
4090,pooled,our_rule,0,1.036336
4090,pooled,vendor,0,1.078236
h100,0,random,1,2.633367
h100,0,random,2,1.917307
h100,0,random,4,1.636102
h100,0,random,8,1.459774
h100,0,random,16,1.338954
h100,0,random,32,1.259581
h100,0,random,64,1.183114
h100,0,random,128,1.127045
h100,0,random,256,1.083854
h100,0,random,512,1.055784
h100,0,random,1024,1.031843
h100,0,random,2048,1.018006
h100,0,random,4096,1.010837
h100,0,random_pruned,1,2.089061
h100,0,random_pruned,2,1.793976
h100,0,random_pruned,4,1.588521
h100,0,random_pruned,8,1.439358
h100,0,random_pruned,16,1.329414
h100,0,random_pruned,32,1.252933
h100,0,random_pruned,64,1.180993
h100,0,random_pruned,128,1.119383
h100,0,random_pruned,256,1.080016
h100,0,random_pruned,512,1.048047
h100,0,random_pruned,1024,1.028887
h100,0,random_pruned,2048,1.016199
h100,0,random_pruned,4096,1.009632
h100,0,random_cond,1,3.141754
h100,0,random_cond,2,1.944452
h100,0,random_cond,4,1.652428
h100,0,random_cond,8,1.525613
h100,0,random_cond,16,1.376047
